ax_lin,ay_lin,az_lin
0.907300,-13.611600,8.046000
2.547000,-15.297400,11.446300
1.083000,-11.072100,11.389100
1.873600,3.951200,11.332100
0.131700,2.249000,-7.411800
0.850700,-2.861900,-17.590800
2.700500,-2.220900,-21.039300
3.864200,-10.748200,-16.913900
3.463600,-12.810600,-0.679400
1.785300,-15.139200,9.337500
-2.417800,-13.157000,8.051600
-1.309500,-7.286100,11.506700
3.942100,-15.070900,-3.858900
-0.541000,-5.711200,11.468500
1.473000,-0.926100,-6.944900
3.384000,-1.877000,-17.030900
4.325000,-2.651700,-20.241500
6.433800,-8.105100,-17.183000
5.951300,-12.041900,-0.766000
4.706200,-8.047300,10.502400
0.660100,-12.723100,9.072500
2.301100,-10.526600,11.624100
-0.246000,-10.500200,11.566000
0.169900,-0.641500,11.508100
1.255700,2.385800,0.822800
-0.397300,9.723200,-16.363000
3.117300,2.637400,-19.300600
-2.367300,-10.632600,9.800000
3.096900,-10.770100,-11.134000
1.928000,-11.893500,4.099300
0.514800,-11.490900,11.049200
-1.720700,-12.422400,8.699100
-1.042500,-14.414400,11.512200
-1.992900,-10.088600,11.454700
-0.536400,-5.307800,11.397400
1.439400,0.650100,5.497800
-1.813500,-13.286800,7.848600
6.171700,-10.556100,7.847500
3.531400,-10.017200,-3.113300
5.887200,-9.609700,-14.986700
6.148500,-9.521100,0.756700
3.229500,-11.089200,10.575900
0.055800,-11.417400,8.170900
2.033500,-13.891100,11.068400
-0.876800,-11.765100,10.391000
0.605000,-4.809800,11.120100
1.941300,-0.708300,7.044900
-0.232200,2.841200,-13.791900
1.008100,1.721200,-18.517600
3.183600,-2.951000,-21.923300
2.571900,-10.786000,-17.507600
3.443100,-10.708200,-1.594200
1.476600,-12.177400,9.368600
-2.636800,-13.548800,8.482900
-0.981700,-12.759000,10.611500
-1.055400,-10.331200,11.253700
-0.521100,2.443600,11.197400
-0.809200,-6.805300,-3.611400
2.059200,1.702800,-16.735900
4.174600,-4.087000,-20.331600
-0.922100,-12.073600,-14.582100
4.234600,-10.235500,3.516100
-1.725100,-3.247200,-19.559800
0.659400,-11.402500,8.243300
-4.569900,-12.274800,11.456700
0.238100,-1.616100,11.399400
1.123400,0.515300,1.651200
-0.440700,-4.172300,-16.046400
2.580800,2.204100,-20.055500
1.559900,-3.078200,-17.843800
0.174700,-9.120500,-1.604700
0.843400,-12.351600,9.617900
-4.820500,-8.477000,7.591900
-3.121100,-10.221900,11.525900
-8.720000,-10.037300,11.468300
-2.101600,-4.041400,11.410900
-0.620700,2.760900,-10.393200
2.828300,1.639000,-18.162400
6.016900,-2.132000,-21.152900
3.966000,-7.678600,-7.640100
2.797600,-12.782800,8.412200
-9.369900,-12.718900,7.717200
-6.120300,-12.364600,11.560000
-10.393500,-10.858700,11.502200
-16.844800,-3.324000,7.868300
-2.676800,-0.137900,-13.863900
0.644200,-5.441900,-19.423300
1.670500,-5.378900,-19.850500
3.811700,-8.981400,-3.298700
-0.358700,-7.988100,9.121500
-5.118200,-10.259700,7.269600
-2.814400,-10.527700,11.605500
-5.192900,-10.220100,11.547500
1.243400,-4.139900,11.489800
0.570000,-1.609800,-12.571500
2.466400,-2.493000,-18.261300
-3.596500,-5.776300,-19.206600
3.711200,-9.400600,-4.404800
1.271500,-12.110800,9.531800
-4.416000,-5.880600,8.137700
-0.712100,-10.617300,11.616200
-2.631700,-11.967800,11.558100
-3.471700,5.116500,11.500300
-5.129600,9.168300,-9.830000
-0.533300,-5.712000,-17.764100
0.255800,-0.495500,-21.264100
-2.486000,-10.006100,-11.518400
-1.055600,-9.622500,5.687600
-3.297600,-11.249700,10.325200
-2.406500,-9.808900,8.841300
-1.086200,-11.146700,11.620400
-3.966600,-6.265300,11.562300
-4.211300,-1.148600,1.672700
-9.430600,7.405100,-15.179100
-2.696600,3.467100,-18.408400
2.871800,-6.837900,-19.255300
-1.353400,-3.975000,-3.743100
-3.000500,-10.911300,9.315600
-8.547500,-7.460900,8.940200
-2.997600,-0.407900,11.687800
