Time,X,Y,Z
0.904,0.205406,-0.073154,0.728132
0.908,0.037059,0.005787,0.699397
0.912,0.027955,0.004049,0.70426
0.916,0.153471,-0.087979,0.852881
0.92,0.015951,-0.064307,0.577687
0.924,0.101899,-0.008116,0.743056
0.928,0.084835,-0.113835,0.738478
0.932,0.106078,-0.035265,0.635691
0.936,0.077671,-0.11192,0.770064
0.9400000000000001,0.068413,-0.050372,0.698393
0.9440000000000001,0.080506,-0.074752,0.741711
0.9480000000000001,0.061855,-0.056478,0.691579
0.9520000000000001,0.092811,-0.080786,0.718138
0.9560000000000001,0.059864,-0.076621,0.701564
0.96,0.116725,-0.109945,0.692254
0.964,0.066599,-0.067457,0.670889
0.968,-0.074177,0.028527,0.754762
0.972,0.228786,-0.039185,0.618398
0.976,0.066167,-0.066328,0.769456
0.98,0.099172,0.115458,0.680811
0.984,0.039687,-0.0004,0.79833
0.988,0.129672,-0.02201,0.628523
0.992,0.081639,-0.087353,0.758295
0.996,0.172774,0.00361,0.715416
1.0,0.090146,0.140709,0.578973
1.004,0.480617,-0.004585,0.600791
1.008,-0.222125,-0.145377,0.608344
1.012,0.261655,0.155932,0.725887
1.016,0.052145,-0.450115,0.743677
1.02,-0.001844,-0.115367,0.603129
1.024,0.259362,-0.058091,0.703922
1.028,0.014025,-0.173777,0.804973
1.032,0.209026,0.045344,0.61828
1.036,0.020676,-0.191215,0.697651
1.04,0.156129,-0.104874,0.724267
1.044,0.116874,-0.171887,0.777224
1.048,0.130594,-0.110219,0.707962
1.052,0.085395,-0.022165,0.588151
1.056,0.118576,-0.051152,0.707871
1.06,0.094994,-0.110501,0.803735
1.064,0.087896,-0.060216,0.648057
1.068,0.022405,-0.050821,0.683976
1.072,0.092008,0.031911,0.640743
1.076,0.057037,0.002363,0.592761
1.08,0.043777,0.041197,0.796138
1.084,0.061016,-0.051822,0.812949
1.088,-0.001859,-0.060477,0.688528
1.092,0.023716,0.034752,0.652553
1.096,0.0297,0.092805,0.714631
1.1,0.007277,-0.014385,0.695551
1.104,0.011282,0.014436,0.659649
1.108,0.007955,0.009504,0.731499
1.112,0.011809,-0.042182,0.662169
1.116,0.008558,-0.057675,0.736573
1.12,-0.018345,-0.042752,0.765393
1.124,-0.004543,-0.068038,0.693679
1.1280000000000001,-0.009715,-0.059892,0.636328
1.1320000000000001,0.020456,-0.035946,0.689032
1.1360000000000001,0.052551,-0.050361,0.724963
1.1400000000000001,0.051054,-0.003389,0.739239
1.1440000000000001,0.016602,-0.063152,0.720107
1.1480000000000001,0.046454,-0.08637,0.686671
1.1520000000000001,0.094609,-0.032014,0.724913
1.156,0.071287,-0.034905,0.674569
1.16,0.097646,-0.009406,0.70082
1.164,0.060132,-0.010259,0.652833
1.168,0.16211,-0.067629,0.669599
1.172,0.081361,-0.069928,0.760629
1.176,0.182823,-0.055609,0.693546
1.18,0.115763,-0.112539,0.753482
1.184,0.129616,-0.090746,0.772663
1.188,0.138573,-0.013189,0.750936
1.192,0.140349,-0.059356,0.772411
1.196,0.160681,-0.069038,0.635869
1.2,0.14314,-0.02266,0.741072
1.204,0.140049,-0.075877,0.707475
1.208,0.14184,-0.083268,0.709842
1.212,0.101348,-0.041161,0.690572
1.216,0.145934,-0.053829,0.671326
1.22,0.140478,-0.026269,0.704718
1.224,0.153704,-0.017501,0.620789
1.228,0.112785,-0.004308,0.764358
1.232,0.161958,0.039544,0.670758
1.236,0.12552,0.040508,0.72568
1.24,0.099041,0.070015,0.730289
1.244,0.089238,0.014843,0.648846
1.248,0.082275,0.047508,0.687073
1.252,0.058946,0.011809,0.67513
1.256,0.080495,-0.05835,0.694476
1.26,0.019421,0.001953,0.711301
1.264,0.067665,0.019186,0.735307
1.268,0.049039,0.005566,0.744975
1.272,0.051757,-0.035915,0.706838
1.276,0.038298,-0.017585,0.668701
1.28,0.069615,0.000195,0.692765
1.284,0.062418,-0.036381,0.70254
1.288,0.076732,-0.022956,0.74102
1.292,0.081318,-0.040348,0.707685
1.296,0.116573,-0.005826,0.72695
1.3,0.097092,-0.01399,0.74866
1.304,0.113154,-0.055334,0.727294
1.308,0.122127,-0.077228,0.705964
1.312,0.140422,-0.117844,0.696655
1.316,0.132587,-0.11085,0.65618
1.32,0.153061,-0.08078,0.706615
1.324,0.100303,-0.074987,0.754628
1.328,0.145092,-0.057627,0.690023
1.332,0.148884,-0.085622,0.673333
1.336,0.160046,-0.078076,0.71887
1.34,0.121228,-0.049691,0.706851
1.344,0.139915,-0.064369,0.757106
1.348,0.099594,-0.086006,0.733151
1.352,0.137531,-0.076898,0.776204
1.356,0.125478,-0.08706,0.785718
1.36,0.109073,-0.019111,0.677776
1.364,0.085789,-0.067792,0.751939
1.368,0.065318,-0.073896,0.742221
1.372,0.038458,-0.024958,0.591202
1.3760000000000001,0.020457,-0.178663,0.983949
1.3800000000000001,0.137775,0.019185,0.466251
1.3840000000000001,-0.093462,0.073828,1.033321
1.3880000000000001,0.18019,0.189838,0.625467
1.3920000000000001,-0.095907,-0.004607,0.922179
1.3960000000000001,0.163841,0.028787,0.495571
1.4000000000000001,-0.074711,0.00966,0.775565
1.4040000000000001,0.128247,0.067003,0.679478
1.408,-0.02274,0.000907,0.739222
1.412,0.059479,0.129903,0.600021
1.416,0.071493,0.004446,0.746018
1.42,0.078857,0.086952,0.707556
1.424,0.034454,0.001169,0.65253
1.428,0.082242,0.039502,0.611815
1.432,0.072821,0.03265,0.729209
1.436,0.066092,0.028619,0.635892
1.44,0.082619,0.05077,0.67667
1.444,0.138934,-0.004864,0.710388
1.448,0.165798,-0.01007,0.667474
1.452,0.124467,-0.048091,0.655789
1.456,0.118729,-0.05316,0.718281
1.46,0.132212,-0.08588,0.749761
1.464,0.15244,-0.094818,0.683023
1.468,0.127558,-0.04272,0.752668
1.472,0.136162,-0.083399,0.709818
1.476,0.142231,-0.133108,0.702954
1.48,0.098867,-0.095337,0.775008
1.484,0.096283,-0.107663,0.720148
1.488,0.091525,-0.049562,0.725009
1.492,0.131485,-0.05133,0.674776
1.496,0.133327,-0.072202,0.696401
1.5,0.106834,-0.064537,0.68448
1.504,0.13029,-0.03577,0.686873
1.508,0.063774,-0.005293,0.734704
1.512,0.071314,-0.034018,0.729919
1.516,0.083352,-0.008257,0.74183
1.52,0.097471,0.033467,0.734486
1.524,0.057392,-0.000482,0.705706
1.528,0.074355,0.039354,0.7104
1.532,0.05346,-0.015298,0.61705
1.536,0.068265,-0.005602,0.760768
1.54,0.087409,-0.002816,0.708121
1.544,0.099197,-0.004757,0.68901
1.548,0.044739,0.005123,0.770481
1.552,0.057172,0.019878,0.677123
1.556,0.046019,-0.010462,0.710752
1.56,0.126457,-0.002385,0.643781
1.564,0.104359,0.012722,0.686967
1.568,0.09223,-0.017176,0.65118
1.572,0.087424,-0.055835,0.699311
1.576,0.108546,-0.039894,0.689904
1.58,0.058859,-0.071527,0.67815
1.584,0.122889,-0.10783,0.762197
1.588,0.098959,-0.122556,0.795959
1.592,0.094141,-0.125478,0.72432
1.596,0.087305,-0.0816,0.616635
1.6,0.099413,-0.053145,0.698034
