time,ax_lin,ay_lin,az_lin
2.000000,0.592263,0.506849,0.821622
2.040000,0.646821,0.479391,0.925449
2.080000,0.643984,0.510050,0.918818
2.120000,0.636228,0.514979,0.888450
2.160000,0.653037,0.488579,0.882177
2.200000,0.662595,0.465205,0.842034
2.240000,0.651531,0.560715,0.833606
2.280000,0.697511,0.477751,0.846747
2.320000,0.671384,0.514136,0.832984
2.360000,0.710721,0.482640,0.884137
2.400000,0.731387,0.541115,0.870499
2.440000,0.682666,0.514506,0.854377
2.480000,0.725807,0.504729,0.876590
2.520000,0.705216,0.518922,0.870293
2.560000,0.697557,0.553130,0.875732
2.600000,0.756019,0.545221,0.910081
2.640000,0.741520,0.526370,0.822145
2.680000,0.777528,0.535462,0.798879
2.720000,0.773091,0.533927,0.878669
2.760000,0.745151,0.535646,0.864590
2.800000,0.804501,0.579599,0.855826
2.840000,0.771415,0.549824,0.925836
2.880000,0.773431,0.504616,0.931310
2.920000,0.776851,0.601648,0.845945
2.960000,0.753036,0.567420,0.930316
3.000000,0.817151,0.519903,0.882855
3.040000,0.812724,0.578573,0.883559
3.080000,0.806137,0.497863,0.840849
3.120000,0.836913,0.565756,0.805781
3.160000,0.778586,0.737742,0.886355
3.200000,0.823753,0.585743,0.920970
3.240000,0.839210,0.559589,0.895092
3.280000,0.863172,0.575485,0.909710
3.320000,0.872371,0.541725,0.874321
3.360000,0.819167,0.575235,0.874445
3.400000,0.875820,0.514457,0.989395
3.440000,0.827109,0.614611,0.819910
3.480000,0.879585,0.573053,0.891864
3.520000,0.868978,0.585245,0.928097
3.560000,0.891710,0.562576,0.885312
3.600000,0.320407,0.658720,0.126425
3.640000,0.880047,1.368540,0.849308
3.680000,0.876439,0.801378,0.878747
3.720000,0.890176,0.782702,0.915013
3.760000,0.901808,0.814763,0.869636
3.800000,0.885445,0.799000,0.870390
3.840000,0.918547,0.758762,0.992777
3.880000,0.896318,0.782671,0.937476
3.920000,0.890109,0.801933,0.847369
3.960000,0.881541,0.764863,0.849810
4.000000,0.931782,0.720460,0.876474
4.040000,0.939483,0.703557,0.905528
4.080000,0.917898,0.825022,0.886592
4.120000,0.959200,0.772419,0.879213
4.160000,0.939141,0.803113,0.970366
4.200000,0.963359,0.761890,0.953081
4.240000,0.887959,0.758207,0.895414
4.280000,0.940399,0.761159,0.946501
4.320000,0.831965,3.202387,0.330288
4.360000,-9.801325,-19.067560,-13.020272
4.400000,-11.667951,-8.024426,2.013601
4.440000,-11.720518,-7.951884,2.010069
4.480000,-5.917054,20.076958,9.928672
4.520000,-5.895614,19.915501,9.925635
4.560000,1.565613,0.744879,-9.656031
4.600000,-0.888433,20.198420,9.950283
4.640000,-17.859251,-7.514257,-21.378956
4.680000,-1.640776,-18.599937,10.059787
4.720000,8.640832,-18.603613,-20.295889
4.760000,-4.576944,-4.543451,10.113033
4.800000,-13.863221,-18.205183,8.728580
4.840000,-9.569665,8.674931,10.173120
4.880000,3.459902,-6.584901,-2.414528
4.920000,3.155497,0.014481,2.344527
4.960000,-1.101693,7.086568,5.892968
5.000000,2.121491,-0.588188,0.021096
5.040000,1.580589,4.724318,-1.219884
5.080000,1.784261,2.489509,2.209842
5.120000,0.396472,2.824625,-0.332943
5.160000,1.142776,3.819372,2.075386
5.200000,1.402417,0.648530,0.809660
5.240000,1.521780,1.798726,1.178189
5.280000,1.501098,1.998754,1.134547
5.320000,1.485088,1.913822,1.078979
5.360000,1.504051,1.970848,1.139077
5.400000,1.486970,1.952722,1.104976
5.440000,1.472828,1.939778,1.069950
5.480000,1.469989,1.882975,1.112931
5.520000,1.466313,1.861893,1.071964
5.560000,1.419097,1.808126,1.112570
5.600000,1.467049,1.820383,1.071524
5.640000,1.438677,1.729828,1.072114
5.680000,1.438918,1.780330,1.093881
5.720000,1.443246,1.756325,1.022874
5.760000,1.432680,1.675604,1.019768
5.800000,1.409367,1.696151,1.053111
5.840000,1.430655,1.626996,1.095818
5.880000,1.364927,1.660926,0.976021
5.920000,1.251399,1.699509,1.011197
5.960000,1.380987,1.658255,1.049419
6.000000,1.351582,1.596344,1.017717
6.040000,1.417989,1.617824,1.042226
6.080000,1.249921,1.438615,1.052154
6.120000,1.381353,1.481750,0.991391
6.160000,1.365211,1.453774,1.081067
6.200000,11.317552,-18.172018,-15.458055
6.240000,-7.670305,-16.256205,10.129628
6.280000,-17.681358,21.514877,10.191521
6.320000,-17.494635,-11.834239,10.268001
6.360000,-5.128269,21.594095,6.413521
6.400000,-4.977323,21.328110,-4.444868
6.440000,6.779878,2.132098,-9.405487
6.480000,7.616644,-17.428595,-12.123372
6.520000,-7.291465,-17.325521,10.267954
6.560000,-17.630810,21.893618,10.286281
6.600000,6.551374,2.684633,-9.291083
6.640000,6.213982,3.084106,-9.220452
6.680000,0.543248,-11.818085,-20.202469
6.720000,-6.665696,2.884199,-9.080115
6.760000,-6.413227,3.231317,-8.892674
6.800000,-6.167592,3.558879,-8.690269
6.840000,-11.485209,3.866689,-8.474771
6.880000,2.896351,17.881113,11.048012
6.920000,-5.945177,3.992080,-8.350280
6.960000,-5.718048,4.269491,-8.118237
7.000000,-8.838455,23.116055,-9.643611
7.040000,-14.778175,4.192784,-8.449303
7.080000,2.652313,4.554570,-8.366075
7.120000,2.306070,4.902352,-8.258731
7.160000,1.964198,5.234891,-8.129314
7.200000,-17.722261,9.760001,11.261907
7.240000,-17.501490,9.329638,11.082156
7.280000,-15.461683,-10.085919,11.112206
7.320000,3.115950,4.715381,-8.400945
7.360000,-10.167493,-7.640676,-16.572845
7.400000,-13.544831,-3.154638,6.565146
7.440000,-17.625055,15.477205,11.381598
7.480000,-17.513708,24.195118,-8.418584
7.520000,-17.410542,11.394953,11.146442
7.560000,-17.305956,-14.750671,-12.169126
7.600000,-17.031036,-14.309154,-9.718513
7.640000,2.545926,5.634949,-7.711584
7.680000,2.200974,5.943558,-7.571071
7.720000,-17.619341,20.963900,7.822680
7.760000,-17.357918,6.289526,-7.180669
7.800000,-10.783672,8.088521,12.233285
7.840000,-18.051157,25.557240,-7.650233
7.880000,4.699711,-13.504534,-11.901505
7.920000,4.639191,-13.333404,-11.771166
7.960000,-10.657438,25.528330,11.919924
8.000000,6.404983,-8.044950,-7.601086
8.040000,8.163733,19.243048,-9.972994
8.080000,7.979952,18.767443,-10.307157
8.120000,0.905498,24.910749,7.993608
8.160000,-5.921447,0.128143,11.163470
8.200000,-17.945133,24.323671,11.175424
8.240000,-17.762983,-13.479986,0.571138
8.280000,-11.263205,4.537460,-8.593945
8.320000,-7.127911,4.525223,-8.373595
8.360000,-12.087960,4.799951,-8.142241
8.400000,-17.400625,-14.933311,11.292011
8.440000,10.530774,-6.491766,-11.602121
8.480000,-17.478924,21.543867,11.285612
8.520000,-17.396898,21.329781,11.189356
8.559999,-17.219681,-3.926602,-8.293968
8.599999,-0.016095,24.321695,11.389170
8.639999,0.056866,24.281385,11.388968
8.679999,-16.954081,-14.779073,11.514194
8.720000,-16.889946,-14.651917,11.613089
8.760000,-17.857611,13.088812,11.830604
8.800000,-18.425753,13.448914,11.996284
8.840000,-18.312351,7.668343,-17.812580
8.880000,-18.177355,6.533871,-18.336512
8.920000,-18.009863,15.529764,-9.109091
8.960000,-17.865623,17.446880,-13.511971
9.000000,-9.509581,-16.449629,-18.839048
9.040000,-17.899176,9.909900,3.361817
9.080000,-10.940359,-0.572014,9.922447
9.120000,0.812959,-9.059569,3.916507
9.160000,-8.410874,-8.213734,9.543037
9.200000,2.138033,17.589153,-16.683025
9.240000,-17.888546,12.626914,10.305840
9.280000,-15.149169,2.919120,-9.150040
9.320000,-2.644668,22.404833,10.426520
9.360000,-2.652210,22.288042,10.390315
9.400000,-17.510925,12.666067,4.532515
9.440000,-17.416454,13.957192,10.350648
9.480000,-17.324081,13.807037,10.336405
9.520000,-17.232439,13.022459,10.326975
9.559999,-17.131599,5.642370,10.336151
9.599999,-16.938580,3.684326,-3.625389
9.639999,-16.695362,2.181164,-9.106779
9.679999,-16.978893,-17.370871,9.454688
9.719999,-17.105371,-17.290060,9.439333
9.760000,-17.130159,4.181329,10.334496
9.800000,-4.011308,-15.188607,-13.167464
9.840000,-13.300886,13.362609,10.492759
9.880000,2.348366,10.772645,5.196716
9.920000,2.214278,10.711903,5.146083
9.960000,-16.974657,7.289081,8.228320
10.000000,-16.885664,10.951841,10.601581
10.040000,-17.151075,8.534659,10.525868
10.080000,2.427219,3.128986,-9.052785
10.120000,-17.295286,-2.514117,-6.866870
10.160000,-17.164845,-11.689426,-9.689268
10.200000,-17.096098,22.491053,10.585043
